id1;name1 ОРИГИНАЛ;id2;name2 ДУБЛИ
82;Восточный;193;Восточное
117;Беговой;159;Беговое
79;Красносельский;208;Красносельское
22;Ломоносовский;180;Ломоносовское
131;Левобережный;178;Левобережное
99;Печатники;183;Печатники
90;Лосиноостровский;214;Лосиноостровское
89;Бабушкинский;200;Бабушкинское
118;Головинский;199;Головинское
110;Алтуфьевский;213;Алтуфьевское
146;Мещанский;207;Мещанское
115;Войковский;171;Войковское
53;Донской;209;Донское
87;Косино-Ухтомский;167;Косино-Ухтомское
91;Бутырский;148;Бутырское
94;Останкинский;175;Останкинское
71;Южнопортовый;198;Южнопортовое
39;Нагорный;187;Нагорное
120;Северный;166;Северное
121;Молжаниновский;188;Молжаниновское
76;Пресненский;189;Пресненское
96;Алексеевский;168;Алексеевское
57;Басманный;210;Басманное
27;Можайский;163;Можайское
111;Бескудниковский;165;Бескудниковское
25;Академический;164;Академическое
105;Ярославский;170;Ярославское
88;Рязанский;160;Рязанское
73;Нижегородский;191;Нижегородское
75;Таганский;195;Таганское
128;Тимирязевский;184;Тимирязевское
26;Даниловский;181;Даниловское
23;Гагаринский;169;Гагаринское
55;Кунцево;197;Кунцево
19;Обручевский;161;Обручевское
77;Тверской;149;Тверское
126;Дмитровский;194;Дмитровское
